x,y
1774, 1773
1775, 1775
1776, 1775
1776, 1776
1775, 1775
1776, 1773
1776, 1775
1776, 1776
1776, 1775
1776, 1776
1776, 1774
1775, 1776
1775, 1774
1776, 1776
1776, 1776
1776, 1776
1776, 1776
1776, 1775
1776, 1775
1776, 1775
1776, 1775
1775, 1775
1776, 1775
1776, 1774
1776, 1774
1776, 1776
1775, 1776
1776, 1775
1775, 1776
1776, 1775
1776, 1775
1776, 1775
1776, 1773
1776, 1775
1776, 1776
1775, 1775
1776, 1776
1776, 1776
1776, 1775
1776, 1775
1776, 1776
1776, 1776
1776, 1775
1776, 1774
1775, 1771
1776, 1775
1776, 1776
1775, 1772
1776, 1776
1776, 1775
1776, 1776
1776, 1775
1776, 1775
1776, 1776
1776, 1775
1776, 1776
1776, 1776
1776, 1774
1776, 1776
1776, 1776
1774, 1775
1775, 1776
1776, 1774
1775, 1776
1776, 1775
1776, 1774
1775, 1774
1776, 1775
1776, 1775
1776, 1776
1776, 1776
1776, 1775
1776, 1775
1776, 1776
1775, 1774
1776, 1775
1774, 1776
1773, 1773
1775, 1775
1776, 1776
1776, 1775
1776, 1775
1776, 1775
1776, 1775
1776, 1774
1775, 1775
1776, 1775
1776, 1773
1776, 1776
1776, 1774
1776, 1776
1775, 1775
1776, 1775
1776, 1775
1775, 1773
1776, 1774
1776, 1775
1775, 1775
1776, 1775
1776, 1775
1776, 1775
1775, 1775
1776, 1775
1775, 1776
1776, 1776
1776, 1776
1776, 1775
1776, 1775
1776, 1774
1776, 1775
1776, 1776
1775, 1775
1776, 1775
1776, 1775
1776, 1776
1776, 1775
1775, 1775
1776, 1775
1776, 1774
1776, 1775
1776, 1775
1775, 1776
